Address,Validator,Start Epoch,End Epoch,SUI Earned,SUI Locked
0x571bad7fd728af0fb5589888e8124214467ae3ba7947cff39dea9d0638e5979a,0x1290ab8bca1c136d2b86967674a43a0f5cb30b352f90233cc37ebf7452b96787,314,-,-,65000000
0x571bad7fd728af0fb5589888e8124214467ae3ba7947cff39dea9d0638e5979a,0x333b6f2a08d138e8c98d84258859b701a4215e2fabb2aee69300f9f4604cda92,314,-,-,30000000
0x571bad7fd728af0fb5589888e8124214467ae3ba7947cff39dea9d0638e5979a,0x4fffd0005522be4bc029724c7f0f6ed7093a6bf3a09b90e62f61dc15181e1a3e,275,-,-,15000
0x571bad7fd728af0fb5589888e8124214467ae3ba7947cff39dea9d0638e5979a,0x61953ea72709eed72f4441dd944eec49a11b4acabfc8e04015e89c63be81b6ab,314,-,-,21000000
0x571bad7fd728af0fb5589888e8124214467ae3ba7947cff39dea9d0638e5979a,0x68cf08c4ef8b0462d8c3879f4e26cc371fbddd844650d0c41a9c3badc8104609,0,292,126232.553049841,3530000
0x571bad7fd728af0fb5589888e8124214467ae3ba7947cff39dea9d0638e5979a,0x68cf08c4ef8b0462d8c3879f4e26cc371fbddd844650d0c41a9c3badc8104609,0,314,3279316.802367694,86470000
0x571bad7fd728af0fb5589888e8124214467ae3ba7947cff39dea9d0638e5979a,0x752b18cfa44304b9bbb110ba95211556f79c62bc2916c23eeb7aea959f5b3463,315,-,-,7929678
0x571bad7fd728af0fb5589888e8124214467ae3ba7947cff39dea9d0638e5979a,0x970f9006836b3eead979bbb97d2ae8f8f331a0834209f2bc878ed142fa9ad1ee,314,-,-,45000000
0x571bad7fd728af0fb5589888e8124214467ae3ba7947cff39dea9d0638e5979a,0xc77c9ba2f86fe51cefb7aa340c6956f5c0818f999004389ab95330ba839dfb0c,0,314,1717897.208238662,45000000
0x571bad7fd728af0fb5589888e8124214467ae3ba7947cff39dea9d0638e5979a,0xd1dbb08191b4ae8e227935669c1862ba75a41cd7df5970002eafb2f365c32ed8,0,314,1122825.903403503,30000000
0x571bad7fd728af0fb5589888e8124214467ae3ba7947cff39dea9d0638e5979a,0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,0,139,43480.388813674,2400000
0x571bad7fd728af0fb5589888e8124214467ae3ba7947cff39dea9d0638e5979a,0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,0,152,95448.863951177,4806000
0x571bad7fd728af0fb5589888e8124214467ae3ba7947cff39dea9d0638e5979a,0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,0,161,52688.960408688,2500000
0x571bad7fd728af0fb5589888e8124214467ae3ba7947cff39dea9d0638e5979a,0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,0,173,30515.413629181,1350000
0x571bad7fd728af0fb5589888e8124214467ae3ba7947cff39dea9d0638e5979a,0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,0,181,57514.024407325,2439000
0x571bad7fd728af0fb5589888e8124214467ae3ba7947cff39dea9d0638e5979a,0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,0,202,31349.113621289,1200000
0x571bad7fd728af0fb5589888e8124214467ae3ba7947cff39dea9d0638e5979a,0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,0,210,9453.194144604,350000
0x571bad7fd728af0fb5589888e8124214467ae3ba7947cff39dea9d0638e5979a,0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,0,236,59773.194016886,2000000
0x571bad7fd728af0fb5589888e8124214467ae3ba7947cff39dea9d0638e5979a,0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,0,258,63059.021997303,1950000
0x571bad7fd728af0fb5589888e8124214467ae3ba7947cff39dea9d0638e5979a,0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,0,314,1339436.44519351,35000000
0x571bad7fd728af0fb5589888e8124214467ae3ba7947cff39dea9d0638e5979a,0xfcb6007ef5f253d4e8ad894a4278bd780a1e1b7b5a17ffbf47f10e73b2508e66,314,-,-,35000000
